color_bbox_mean_r,color_bbox_mean_g,color_poly_mean_b,color_poly_std_b,hsv_bbox_mean_h,hsv_bbox_mean_s,hsv_poly_mean_h,hsv_poly_mean_s,hsv_poly_mean_v,color_bbox_entropy,color_poly_entropy,ir_cluster,level2_class
73.855,45.945,123.971,16.295,131.047,92.326,30.262,16.156,131.648,6.105,5.547,141.82,Dark oil
73.809,45.999,123.504,16.168,129.314,92.097,29.545,16.997,131.717,6.112,5.546,141.78,Dark oil
73.83,45.938,123.442,16.421,129.016,92.186,30.482,17.247,131.645,6.114,5.567,141.88,Dark oil
73.906,45.907,123.783,16.23,130.634,92.695,31.524,17.068,131.938,6.11,5.562,141.82,Dark oil
73.902,45.985,123.606,16.429,127.903,92.385,29.083,16.892,131.697,6.115,5.577,141.79,Dark oil
73.984,45.881,123.389,16.321,129.148,92.817,29.472,17.298,131.72,6.112,5.586,141.89,Dark oil
73.854,45.947,123.578,16.197,130.713,92.197,29.017,16.823,131.641,6.114,5.547,141.81,Dark oil
73.878,45.981,123.58,16.349,130.027,92.351,29.774,17.037,131.717,6.117,5.569,141.79,Dark oil
74.016,45.942,123.442,16.276,127.804,92.528,29.687,17.078,131.655,6.111,5.58,141.89,Dark oil
73.911,45.873,123.586,16.219,130.537,92.901,29.848,17.072,131.732,6.117,5.597,141.81,Dark oil
73.876,45.907,123.4,16.227,130.424,92.429,30.523,17.177,131.649,6.119,5.593,141.78,Dark oil
73.865,45.935,123.707,16.429,129.476,92.511,29.305,16.763,131.719,6.11,5.584,141.89,Dark oil
73.89,45.896,123.547,16.257,130.94,92.451,29.064,16.882,131.661,6.108,5.607,141.79,Dark oil
73.888,45.993,123.638,16.412,129.279,92.064,29.878,17.009,131.706,6.123,5.576,141.78,Dark oil
73.879,46.012,123.824,16.352,127.968,92.042,28.408,16.154,131.539,6.125,5.586,141.86,Dark oil
73.904,45.924,123.688,16.204,128.833,92.686,28.431,16.756,131.732,6.103,5.56,141.79,Dark oil
73.921,45.897,123.492,16.01,131.767,92.575,30.864,16.984,131.685,6.116,5.567,141.81,Dark oil
73.906,45.946,123.655,16.277,128.938,92.268,31.253,16.709,131.616,6.112,5.593,141.86,Dark oil
73.876,45.934,123.645,16.264,129.907,92.564,29.612,16.706,131.637,6.125,5.571,141.8,Dark oil
73.975,45.866,123.592,16.163,130.42,92.574,31.149,17.032,131.738,6.106,5.572,141.8,Dark oil
73.916,45.925,123.57,16.109,130.258,92.443,31.906,17.066,131.722,6.114,5.553,141.86,Dark oil
73.793,45.911,123.525,16.097,129.488,92.293,29.126,17.083,131.767,6.121,5.562,141.8,Dark oil
73.984,45.917,123.827,16.237,130.187,92.246,28.899,16.161,131.517,6.117,5.564,141.8,Dark oil
73.914,45.901,123.543,16.159,129.014,92.546,29.448,16.914,131.705,6.116,5.588,141.85,Dark oil
73.84,45.94,123.527,16.251,131.259,92.232,29.235,17.21,131.795,6.113,5.571,141.8,Dark oil
73.791,45.979,123.728,16.222,129.638,91.698,30.905,16.892,131.802,6.112,5.573,141.8,Dark oil
73.86,45.969,123.731,16.278,129.064,92.353,29.119,16.913,131.796,6.114,5.571,141.87,Dark oil
73.891,45.845,123.847,16.303,130.894,92.958,30.176,16.453,131.697,6.117,5.572,141.82,Dark oil
73.812,45.971,123.588,16.487,127.881,92.001,30.575,16.965,131.647,6.113,5.575,141.8,Dark oil
74.001,45.872,123.782,16.376,130.714,92.596,30.826,16.452,131.592,6.113,5.559,141.84,Dark oil
73.892,45.892,123.678,16.495,130.668,92.641,29.027,16.98,131.786,6.112,5.567,141.81,Dark oil
73.805,45.971,123.398,16.166,129.522,92.339,31.658,17.06,131.626,6.117,5.562,141.79,Dark oil
73.78,45.957,123.437,16.202,129.859,92.274,28.718,17.194,131.764,6.119,5.582,141.83,Dark oil
73.86,45.909,123.799,16.161,131.655,92.497,28.682,16.666,131.767,6.112,5.578,141.8,Dark oil
73.782,45.966,123.46,16.325,127.977,92.153,30.92,17.269,131.676,6.122,5.555,141.78,Dark oil
73.865,45.941,123.74,16.281,130.001,92.231,29.929,16.403,131.602,6.126,5.559,141.83,Dark oil
